Date,Open,High,Low,Close
1982-05-11,0.8546,0.8546,0.8546,0.8546
1982-05-12,0.8543,0.8543,0.8543,0.8543
1982-05-13,0.8505,0.8505,0.8505,0.8505
1982-05-14,0.8456,0.8456,0.8456,0.8456
1982-05-17,0.8461,0.8461,0.8461,0.8461
1982-05-18,0.8417,0.8417,0.8417,0.8417
1982-05-19,0.8412,0.8412,0.8412,0.8412
1982-05-20,0.8418,0.8418,0.8418,0.8418
1982-05-21,0.8457,0.8457,0.8457,0.8457
1982-05-24,0.8477,0.8477,0.8477,0.8477
1982-05-25,0.8425,0.8425,0.8425,0.8425
1982-05-26,0.8374,0.8374,0.8374,0.8374
1982-05-27,0.8314,0.8314,0.8314,0.8314
1982-05-28,0.8308,0.8308,0.8308,0.8308
1982-06-01,0.8207,0.8207,0.8207,0.8207
1982-06-02,0.8232,0.8232,0.8232,0.8232
1982-06-03,0.8254,0.8254,0.8254,0.8254
1982-06-04,0.8246,0.8246,0.8246,0.8246
1982-06-07,0.8187,0.8187,0.8187,0.8187
1982-06-08,0.8125,0.8125,0.8125,0.8125
1982-06-09,0.8077,0.8077,0.8077,0.8077
1982-06-10,0.8082,0.8082,0.8082,0.8082
1982-06-11,0.8145,0.8145,0.8145,0.8145
1982-06-14,0.8052,0.8052,0.8052,0.8052
1982-06-15,0.8061,0.8061,0.8061,0.8061
1982-06-16,0.8013,0.8013,0.8013,0.8013
1982-06-17,0.7975,0.7975,0.7975,0.7975
1982-06-18,0.7926,0.7926,0.7926,0.7926
1982-06-21,0.787,0.787,0.787,0.787
1982-06-22,0.7947,0.7947,0.7947,0.7947
1982-06-23,0.7873,0.7873,0.7873,0.7873
1982-06-24,0.7884,0.7884,0.7884,0.7884
1982-06-25,0.7842,0.7842,0.7842,0.7842
1982-06-28,0.7822,0.7822,0.7822,0.7822
1982-06-29,0.792,0.792,0.792,0.792
1982-06-30,0.793,0.793,0.793,0.793
1982-07-01,0.7897,0.7897,0.7897,0.7897
1982-07-02,0.7873,0.7873,0.7873,0.7873
1982-07-06,0.7833,0.7833,0.7833,0.7833
1982-07-07,0.7766,0.7766,0.7766,0.7766
1982-07-08,0.7758,0.7758,0.7758,0.7758
1982-07-09,0.782,0.782,0.782,0.782
1982-07-12,0.7871,0.7871,0.7871,0.7871
1982-07-13,0.7811,0.7811,0.7811,0.7811
1982-07-14,0.7814,0.7814,0.7814,0.7814
1982-07-15,0.7825,0.7825,0.7825,0.7825
1982-07-16,0.7875,0.7875,0.7875,0.7875
1982-07-19,0.7883,0.7883,0.7883,0.7883
1982-07-20,0.7956,0.7956,0.7956,0.7956
1982-07-21,0.8023,0.8023,0.8023,0.8023
1982-07-22,0.8017,0.8017,0.8017,0.8017
1982-07-23,0.814,0.814,0.814,0.814
1982-07-26,0.8095,0.8095,0.8095,0.8095
1982-07-27,0.8034,0.8034,0.8034,0.8034
1982-07-28,0.796,0.796,0.796,0.796
1982-07-29,0.7928,0.7928,0.7928,0.7928
1982-07-30,0.7908,0.7908,0.7908,0.7908
1982-08-02,0.8012,0.8012,0.8012,0.8012
1982-08-03,0.7986,0.7986,0.7986,0.7986
1982-08-04,0.7844,0.7844,0.7844,0.7844
1982-08-05,0.7845,0.7845,0.7845,0.7845
1982-08-06,0.7812,0.7812,0.7812,0.7812
1982-08-09,0.7747,0.7747,0.7747,0.7747
1982-08-10,0.7751,0.7751,0.7751,0.7751
1982-08-11,0.773,0.773,0.773,0.773
1982-08-12,0.7745,0.7745,0.7745,0.7745
1982-08-13,0.7769,0.7769,0.7769,0.7769
1982-08-16,0.7738,0.7738,0.7738,0.7738
1982-08-17,0.7779,0.7779,0.7779,0.7779
1982-08-18,0.7864,0.7864,0.7864,0.7864
1982-08-19,0.7846,0.7846,0.7846,0.7846
1982-08-20,0.795,0.795,0.795,0.795
1982-08-23,0.7943,0.7943,0.7943,0.7943
1982-08-24,0.8065,0.8065,0.8065,0.8065
1982-08-25,0.8034,0.8034,0.8034,0.8034
1982-08-26,0.7997,0.7997,0.7997,0.7997
1982-08-27,0.7893,0.7893,0.7893,0.7893
1982-08-30,0.7779,0.7779,0.7779,0.7779
1982-08-31,0.7811,0.7811,0.7811,0.7811
1982-09-01,0.7828,0.7828,0.7828,0.7828
1982-09-02,0.7885,0.7885,0.7885,0.7885
1982-09-03,0.7876,0.7876,0.7876,0.7876
1982-09-07,0.7884,0.7884,0.7884,0.7884
1982-09-08,0.7839,0.7839,0.7839,0.7839
1982-09-09,0.786,0.786,0.786,0.786
1982-09-10,0.7785,0.7785,0.7785,0.7785
1982-09-13,0.7743,0.7743,0.7743,0.7743
1982-09-14,0.776,0.776,0.776,0.776
1982-09-15,0.7756,0.7756,0.7756,0.7756
1982-09-16,0.776,0.776,0.776,0.776
1982-09-17,0.7798,0.7798,0.7798,0.7798
1982-09-20,0.7791,0.7791,0.7791,0.7791
1982-09-21,0.7786,0.7786,0.7786,0.7786
1982-09-22,0.7811,0.7811,0.7811,0.7811
1982-09-23,0.7773,0.7773,0.7773,0.7773
1982-09-24,0.7759,0.7759,0.7759,0.7759
1982-09-27,0.7676,0.7676,0.7676,0.7676
1982-09-28,0.7669,0.7669,0.7669,0.7669
1982-09-29,0.7715,0.7715,0.7715,0.7715
1982-09-30,0.7712,0.7712,0.7712,0.7712
1982-10-01,0.7722,0.7722,0.7722,0.7722
1982-10-04,0.7635,0.7635,0.7635,0.7635
1982-10-05,0.7642,0.7642,0.7642,0.7642
1982-10-06,0.7665,0.7665,0.7665,0.7665
1982-10-07,0.7731,0.7731,0.7731,0.7731
1982-10-08,0.7718,0.7718,0.7718,0.7718
1982-10-12,0.7835,0.7835,0.7835,0.7835
1982-10-13,0.7768,0.7768,0.7768,0.7768
1982-10-14,0.7748,0.7748,0.7748,0.7748
1982-10-15,0.7748,0.7748,0.7748,0.7748
1982-10-18,0.7756,0.7756,0.7756,0.7756
1982-10-19,0.7751,0.7751,0.7751,0.7751
1982-10-20,0.7723,0.7723,0.7723,0.7723
1982-10-21,0.771,0.771,0.771,0.771
1982-10-22,0.7712,0.7712,0.7712,0.7712
1982-10-25,0.7634,0.7634,0.7634,0.7634
1982-10-26,0.7654,0.7654,0.7654,0.7654
1982-10-27,0.7669,0.7669,0.7669,0.7669
1982-10-28,0.7616,0.7616,0.7616,0.7616
1982-10-29,0.7618,0.7618,0.7618,0.7618
1982-11-01,0.7641,0.7641,0.7641,0.7641
1982-11-03,0.7625,0.7625,0.7625,0.7625
1982-11-04,0.7571,0.7571,0.7571,0.7571
1982-11-05,0.7563,0.7563,0.7563,0.7563
1982-11-08,0.7513,0.7513,0.7513,0.7513
1982-11-09,0.7555,0.7555,0.7555,0.7555
1982-11-10,0.7568,0.7568,0.7568,0.7568
1982-11-12,0.7527,0.7527,0.7527,0.7527
1982-11-15,0.754,0.754,0.754,0.754
1982-11-16,0.7583,0.7583,0.7583,0.7583
1982-11-17,0.7577,0.7577,0.7577,0.7577
1982-11-18,0.7593,0.7593,0.7593,0.7593
1982-11-19,0.7669,0.7669,0.7669,0.7669
1982-11-22,0.7661,0.7661,0.7661,0.7661
1982-11-23,0.7651,0.7651,0.7651,0.7651
